# kind, identity, ABI version, trust boundary, validation/effect contract, stable source witness, and tests (tab-separated; 14 fields).
stage	image-container-parse	format-v2	file-length-after-read	raw-image-bytes	magic;header-size;section-range;alignment;record-width before section slicing	image-admission	validated-TlciImage-or-error	parse-error;no-map	tlci-parse-image	loader-call	src/tlci_core.tl:tlci-parse-image	tlci-core:parse-round-trip	tlci-core:parse-rejections
stage	metadata-identity	metadata-v2	parsed-metadata-shape	metadata bytes;producer identity	metadata grammar;producer identity syntax before code-bearing admission	compiler-identity	admitted-metadata-or-rejection	identity-mismatch;no-map	tlci-producer-identity-admit	loader-call	src/tlci_core.tl:tlci-producer-identity-admit	tlci-core:producer-identity-admission	tlci-core:producer-identity-rejections
stage	package-source-binding	aux-v1	current-source digest	aux directory and claimed digest	aux bounds;schema;digest equality before native route	package-identity	matching-source-digest-or-fallback	mismatch-or-malformed;no-native-route	tlci-package-source-binding-admit	dependency-loader	src/tlci_core.tl:tlci-package-source-binding-admit	tlci-core:package-source-binding-admission	tlci-core:aux-corruption-rejected
stage	host-platform-admission	format-v2	build host platform	image platform and code-bearing classification	known platform;metadata-only exception;exact build-host match before mapping	platform-admission	code-bearing-or-metadata-only classification	platform-mismatch;no-map	tlci-image-admit-host	loader-call	src/tlci_core.tl:tlci-image-admit-host	tlci-core:host-platform-admission	tlci-loader:platform-admission-rejections
stage	host-callback-table	callback-v2	compiler-owned callback catalog	callback table header;names;addresses;count	magic;version;size;reserved-zero;nonzero abort;array bounds;unique nonempty names;nonzero bindings	callback-admission	validated-host-table-or-error	ABI-error;no-map	tlci-validate-host-callback-table	loader-call	src/tlci_core.tl:tlci-validate-host-callback-table	tlci-core:host-abi-layout	tlci-core:host-abi-rejections
stage	entry-symbol-resolution	callback-v2	validated image sections	entry records and symbol bytes	entry record width;symbol range;code offset;exact unique tlci_image_entry before mapping	entry-resolution	validated-code-offset-or-error	missing-or-duplicate-entry;no-map	tlci-loader-find-entry-code-offset	loader-call	src/tlci_loader.tl:tlci-loader-find-entry-code-offset	tlci-loader:loads-and-fixes-up	tlci-loader:entry-rejections
stage	fixup-validation	format-v2	validated section extents	fixup records and target slots	record width;slot alignment;slot inside mapped sections before allocation	memory-relocation	validated-fixups-or-error	bad-fixup;no-map	tlci-loader-validate-fixups	loader-call	src/tlci_loader.tl:tlci-loader-validate-fixups	tlci-loader:loads-and-fixes-up	tlci-loader:fixup-rejections
stage	import-validation	callback-v2	validated section extents	import records;symbol ranges;GOT slots	record width;name range;slot alignment;slot in writable mapping before allocation	callback-import	validated-imports-or-error	bad-import;no-map	tlci-loader-validate-imports	loader-call	src/tlci_loader.tl:tlci-loader-validate-imports	tlci-loader:named-imports	tlci-loader:import-rejections
stage	page-reservation	platform	validated total mapped length	requested mapping length	positive page-rounded length;OS allocation result before copy	memory-map	writable-nonexecuting-region-or-error	allocation-error;no-execution	tlci-pages-allocate-rw	loader-call	src/tlci_pages.tl:tlci-pages-allocate-rw	tlci-pages:data-map-non-executable	tlci-pages:map-failure
stage	section-copy	format-v2	owned writable page region	validated section bytes	copy only while writable;source length <= destination region	memory-map	copied-writable-region-or-error	copy-error;release-region	tlci-pages-copy-from-array!	loader-call	src/tlci_pages.tl:tlci-pages-copy-from-array!	tlci-pages:code-map-rx	tlci-pages:copy-after-protect-rejected
stage	fixup-application	format-v2	validated fixup records	mapped slot contents	apply only after all fixups validate and while mapping writable	memory-relocation	rebased-slot-values	validation failure precedes mutation	tlci-loader-apply-fixups!	loader-call	src/tlci_loader.tl:tlci-loader-apply-fixups!	tlci-loader:loads-and-fixes-up	tlci-loader:fixup-rejections
stage	callback-import-binding	callback-v2	validated unique host catalog	image-requested callback names	resolve exact stable name to nonzero address;write GOT only while writable	callback-import	bound-GOT-slot	missing-name;release-region	tlci-loader-bind-imports!	loader-call	src/tlci_loader.tl:tlci-loader-bind-imports!	tlci-loader:named-imports	tlci-loader:missing-import
